BUTTON B,BOUTON B,,,BOTTONE B,KNAPP B
BUTTON X,BOUTON X,,,BOTTONE X,KNAPP X
BUTTON Y,BOUTON Y,,,BOTTONE Y,KNAPP Y
MENU,,,,MENU,
GUIDE,,,,GUIDA,
START,,,,START,
L. STICK BUTTON,BOUTON STICK G.,,,BOTTONE STICK SX,
R. STICK BUTTON,BOUTON STICK D.,,,BOTTONE STICK DX,
L. BUMPER,BUMPER G.,,,BUMPER SX,
R. BUMPER,BUMPER D.,,,BUMPER DX,
D-PAD UP,D-PAD HAUT,,,D-PAD SU,
D-PAD DOWN,D-PAD BAS,,,D-PAD GIÙ,
D-PAD LEFT,D-PAD GAUCHE,,,D-PAD SINISTRA,
D-PAD RIGHT,D-PAD DROITE,,,D-PAD DESTRA,
,,,,,
L. STICK UP,STICK G. HAUT,,,STICK SX SU,
L. STICK DOWN,STICK G. BAS,,,STICK SX GIÙ,
L. STICK LEFT,STICK G. GAUCHE,,,STICK SX SINISTRA,
L. STICK RIGHT,STICK G. DROITE,,,STICK SX DESTRA,
R. STICK UP,STICK D. HAUT,,,STICK DX SU,
R. STICK DOWN,STICK D. BAS,,,STICK DX GIÙ,
R. STICK LEFT,STICK D. GAUCHE,,,STICK DX SINISTRA,
R. STICK RIGHT,STICK D. DROITE,,,STICK DX DESTRA,
L. TRIGGER,GÂCHETTE G.,,,TRIGGER SX,
R. TRIGGER,GÂCHETTE D.,,,TRIGGER DX,
,,,,,
JAN.,JANV.,JAN,ENERO,GENN.,JAN.
FEB.,FÉVR.,FEB,FEB.,FEBB.,FEBR.
MAR.,MARS,MAR,MARZO,MAR.,MARS
APR.,AVR.,APR,ABR.,APR.,APRIL
MAY,MAI,MAI,MAYO,MAGG.,MAJ
JUNE,JUIN,JUN,JUN.,GIU.,JUNI
JULY,JUIL.,JUL,JUL.,LUG.,JULI
AUG.,AOÛT,AUG,AGOSTO,AGO.,AUG.
SEPT.,SEPT.,SEP,SET.,SETT.,SEPT.
OCT.,OCT.,OKT,OCT.,OTT.,OKT.
NOV.,NOV.,NOV,NOV.,NOV.,NOV.
DEC.,DÉC.,DEZ,DIC.,DIC.,DEC.
